Time_submitted,Review
2022-03-30 15:00:00,"One of the most annoying music playing apps ever, why are there limited skips, if I don't like a song I cant skip it if I don't have enough skips, also if I search up a song and want to play it I won't let me unless I add it to my Playlist, and even then it won't work because Spotify adds songs to your Playlist for no reason, which wouldn't be much of a problem if the default wasn't on shuffle to play music in your Playlist, this app is way to complicated to use and I would not recommend at all"
2022-04-22 18:11:29,Minor glitches but all around good times
2022-06-14 14:32:36,Just want to say I loved the app at first but now it locked me out of all my downloads my library a my liked songs my artist that I download and it's not playing any music now I just want to know what's going on?
2022-04-06 03:27:30,Spotify has an amazing way of noting music you love and creating a playlist for you that at your best and worst mood they are with you. Keep up the good work SPOT. Thank you.
2022-05-24 14:52:18,"Great app. Has almost all the songs I look for. Their premium family plan is so so worth it. There's absolutely no restrictions on playlists and other such organisations for the paid plan. Useful features are added quite frequently. Love the swipe to add to queue feature. Song and playing radios, and other song suggestions are quite apt"
2022-04-23 03:33:18,"You can access all ur favourite songs in your playlist, listen to your favorite artist or short storys. It has good quality and easy to be happy and sing all your problems away. Best to use speakers or headphones. Honestly this app is full of happiness and love."
2022-04-11 16:16:15,Update Extremely Bugged. Please revert to old update. Search bar isn't formatted and is cut off. Can play music but doesn't actually visually show any song was selected.
2022-02-24 21:27:24,Its buggy as hell. Random pauses. no control panel to play/pause. Its very frustrating to use and navigate.
2022-07-07 14:25:44,All of my favorite podcasts from all aspects of my recreational life to my professional life in one place.
2022-04-15 10:05:20,"Bugged since a few days. No longer showing what is currently playing (in-app), no bar in notification area and doesn't stop music after a bluetooth device disconnects."
2022-04-19 04:38:38,It's good untill you go pronium then if you don't pay you can't usa at all sucky
2022-07-05 23:28:28,"Right now as soon as I start vacation it is not working, not loading. I've uninstalled, reinstalled, forced stopped, restarted my phone. This is beyond annoying!!! Edit, got a new phone and app still not working!!! Everyone else in my family plan has a working spotify except myself and I am the plan account holder."
2022-05-04 12:17:33,"I love Spotify! I use it for my personally and for my business, I love how it's easy to use and some of the Spotify playlists are perfect."
2022-07-05 18:47:32,"Everything is almost alright. Whenever I play my liked songs shuffled, after couple of my liked songs are played a little after you play song THAT I NEVER LIKED WHY PLAY THEM WHEN I HAVEN'T LIKED THEM. FIX THIS. Not only that every 10 minutes i get an add. Don't hmu with the bs of not bothering you with adds for 30 minutes. THANKS FOR DISABLING MY ACCOUNT AFTER I WROTE THIS, everything was fine before I rated this."
2022-03-19 02:44:07,This so good when I am feeling so sad I listen to music in spotify
2022-03-04 16:49:24,It's a very nice app actually BUT the thing that is really annoying me so bad is that it's with Internet hopefully Spotify would fix this problem thank you
2022-02-02 14:29:16,"Awesome app! Ignore the haters/fakers. wAy better than other options! Thanks! Thanks for the great music,awesome playlists, and great quality sound. I have tried about a dozen other apps, this is by far my favorite (and the rest of the family, we all use it! I definitely recommend this for all your music listening needs! Thanks spotify for standing up for what is right! I enjoy joe rogan podcast. It's one of the few completely honest places left!"
2022-05-03 21:21:56,- Pauses continually every 15 min - Will play in the background with no way of pausing unless the app is force stopped - Multiple prompts a day for Bluetooth access - Occasionally won't open through widget - More bugs continually occuring in the last 3 months
2022-06-02 20:04:17,I've used Spotify exclusively for my music for over 10 years now. It's the best I can recommend. Free version on mobile kind of sucks - but premium isn't very expensive at all especially as a student.
2022-06-07 04:22:46,"To the team of spotify, this is to inform you that I dont have any active subscription and i haven't paid one(not even the tried the trial) but I'm not getting any advertisements in the middle of playlists like the premium users... please check what it is! Thank you!"
2022-04-26 23:31:34,"Literally the worst app ever made. No matter what you do. No matter what setting you engage, you cannot stop it from starting automatically when you hop in your car and it connects to Bluetooth. Nothing can stop it. It just kicks in and starts rocking. Let's say you were playing the song loud in your house and then you get in your car. It's going to come out blasting. Why is autoplay so hard to stop? I feel like they're programming team simply doesn't have the skills. I hate this app."
2022-04-17 08:26:02,The best music experience you will ever have ❤
2022-04-23 14:37:49,"I constantly have to re-download all my music. When I find something new to download, and I have a subscription, and phone has room, it always just spins and doesn't DL. I follow all the steps recommended and in the end I have to reinstall it, re download everything. F*$king pain in the a$$. If it didn't have such a large download limit, I'd have gone with YouTube instead. I miss Google music."
2022-05-08 02:39:26,it is so good and convinent and it is so much better than YouTube music
2022-05-04 16:57:17,I am enjoying the music and it's such a wide variety.
2022-04-18 15:36:24,"The app is great, I know - but the fact that u can't even play the complete song when you search it up without Spotify Premium just makes it basically unusable. You can only play playlist, that's all. Spotify pls fix this."
2022-02-01 17:04:52,"Usually I like Spotify and even use Premium, but lately, every time there is an update, the apl crashes as soon as I start playing a song, which really makes the app very useless. Mostly this issue is resolved after some time, but it keeps coming up. Without this problem, I would give Spotify at least 4 stars. Please fix it."
2022-06-13 04:39:24,I love it there's not much adds either all music is free and it's free to make a podcast
2022-07-02 20:40:43,"This app has lots of podcasts and I love those , you can also try these podcasts of Crime & Thriller."
2022-05-13 20:16:36,Where do I start well Spotify was the last musical platform that I added to my music app ecosystem I already have YouTube music and SoundCloud and Spotify has been a welcome addition I love the fact that I have the ability to search for singles remixes and albums from all three what I enjoy doing is opening Spotify and SoundCloud in split screen view and being able to blend and mix between the two🎛️
2022-03-25 18:27:18,This app sucks you can't even listen to the right music i wanted to listen to panic at the disco but i had to listwn to a whole differenet music before i could listen to panic at the disco youtube is way better also I have Spotify on my Playstation when it goes to an add break you have to sit through 4 different ads that could range from 30 seconds to 2 minutes and they are only about buy Spotify premium
2022-06-22 21:12:35,It's good but why can't we play offline music
2022-03-20 20:30:21,The app will stop playing songs after 2 songs. I have to open my Spotify to restart it every time. It does get annoying. Maybe a good update will help?
2022-03-11 23:02:05,"No problems so far, been using it about 2 years now. Easy to navigate, easy to use."
